cell,row,column,letter,black_square,clue_number,across_clue,down_clue,answer
"A1","A","1","","TRUE","","","",""
"A2","A","2","B","","1","Blitzkrieg . . .","",""
"A3","A","3","O","","","","",""
"A4","A","4","P","","2","","",""
"A5","A","5","","TRUE","","","",""
"A6","A","6","P","","3","What they paved to put up a parking lot.","",""
"A7","A","7","A","","","","",""
"A8","A","8","R","","","","",""
"A9","A","9","A","","","","",""
"A10","A","10","D","","4","","",""
"A11","A","11","I","","","","",""
"A12","A","12","S","","","","",""
"A13","A","13","E","","5","","",""
"A14","A","14","","TRUE","","","",""
"A15","A","15","S","","6","Spirit in the ...","",""
"A16","A","16","K","","","","",""
"A17","A","17","Y","","","","",""
"A18","A","18","","TRUE","","The Stones suggest that if you try sometimes, you just might find you. . .","",""
"B1","B","1","W","","7","","Tom T. Hall wrote this book.",""
"B2","B","2","","TRUE","","","",""
"B3","B","3","","TRUE","","","",""
"B4","B","4","T","","","","",""
"B5","B","5","","TRUE","","","",""
"B6","B","6","I","","","","",""
"B7","B","7","","TRUE","","","",""
"B8","B","8","","TRUE","","","",""
"B9","B","9","","TRUE","","","",""
"B10","B","10","O","","","","",""
"B11","B","11","","TRUE","","","",""
"B12","B","12","","TRUE","","","",""
"B13","B","13","M","","","","",""
"B14","B","14","","TRUE","","","",""
"B15","B","15","K","","","","",""
"B16","B","16","","TRUE","","","",""
"B17","B","17","","TRUE","","","",""
"B18","B","18","A","","8","","",""
"C1","C","1","U","","","","",""
"C2","C","2","","TRUE","","","",""
"C3","C","3","","TRUE","","","",""
"C4","C","4","A","","9","","",""
"C5","C","5","L","","10","","",""
"C6","C","6","L","","","","",""
"C7","C","7","","TRUE","","","",""
"C8","C","8","B","","11","","",""
"C9","C","9","","TRUE","","","",""
"C10","C","10","","TRUE","","","",""
"C11","C","11","D","","12","","",""
"C12","C","12","","TRUE","","","",""
"C13","C","13","U","","13","","",""
"C14","C","14","S","","14","","",""
"C15","C","15","A","","","","",""
"C16","C","16","","TRUE","","","",""
"C17","C","17","","TRUE","","","",""
"C18","C","18","L","","","","",""
"D1","D","1","T","","15","","",""
"D2","D","2","E","","","","",""
"D3","D","3","A","","16","","",""
"D4","D","4","","TRUE","","","",""
"D5","D","5","E","","","","",""
"D6","D","6","","TRUE","","","",""
"D7","D","7","","TRUE","","","",""
"D8","D","8","E","","","","",""
"D9","D","9","","TRUE","","","",""
"D10","D","10","","TRUE","","","",""
"D11","D","11","O","","","","",""
"D12","D","12","","TRUE","","","",""
"D13","D","13","","TRUE","","","",""
"D14","D","14","H","","","","",""
"D15","D","15","","TRUE","","","",""
"D16","D","16","A","","17","","",""
"D17","D","17","M","","","","",""
"D18","D","18","I","","","","",""
"E1","E","1","H","","","","",""
"E2","E","2","","TRUE","","","",""
